uuid	dataset_type	encode2_dbxref:array	status	submitted_by	award	lab	geo_dbxref:array	references:array	track_description_file	expVars:ignore	trackDb.ra:ignore
c6191664-d469-4efb-a555-28566be61370	composite	hg19/wgEncodeGisRnaPet	CURRENT	davisc@cshl.edu	U54HG004557	yijun-ruan	GSE33600	16840528; 15782207 ; 18265396 ; 17568001 ; 22113299	wgEncodeGisRnaPet.release2.html	cell,localization,rnaExtract	wgEncodeGisRnaPet.release2.ra
ba53d488-364c-4925-8232-1d0cd296ac63	composite	hg19/wgEncodeGisRnaSeq	CURRENT	davisc@cshl.edu	U54HG004557	yijun-ruan	GSE27221	NULL	wgEncodeGisRnaSeq.html	cell,localization,rnaExtract	wgEncodeGisRnaSeq.ra
e2634b5e-9811-4ffe-86f3-c98b1d25b048	composite	hg19/wgEncodeHaibGenotype	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE40698	15475419	wgEncodeHaibGenotype.release2.html	cell,treatment	wgEncodeHaibGenotype.release2.ra
1f55f28b-6693-4893-a0f1-c189c2233e70	composite	hg19/wgEncodeHaibMethylArray	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE40700	NULL	wgEncodeHaibMethyl27.html	cell,treatment,labVersion	wgEncodeHaibMethyl27.ra
3133dbff-a5da-4a0b-ab0e-a20a9710840c	composite	hg19/wgEncodeHaibMethylRrbs	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE27584	18600261	wgEncodeHaibMethylRrbs.release3.html	cell,treatment	wgEncodeHaibMethylRrbs.release3.ra
f33ca006-e62a-40b2-8d08-4687527092b6	composite	hg19/wgEncodeHaibMethylSeq	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE41304	19273619	wgEncodeHaibMethylSeq.html	cell	wgEncodeHaibMethylSeq.ra
aa871b37-4237-4938-9314-3a0e3ae04f48	composite	hg19/wgEncodeHaibMethylWgbs	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE40832	21493656	wgEncodeHaibMethylWgbs.html	lab,cell,dataType	wgEncodeHaibMethylWgbs.ra
b674aa0f-f0b6-497c-b6bd-475529aff7b4	composite	hg19/wgEncodeHaibRnaSeq	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE35584	16925838 ; 19261174 ; 19505943 ; 18516045 ; 21410973	wgEncodeHaibRnaSeq.html	cell,treatment,rnaExtract	wgEncodeHaibRnaSeq.ra
a5661d14-9ef4-4f36-aae0-b0bafd1400f5	composite	hg19/wgEncodeHaibTfbs	CURRENT	fpauli@hudsonalpha.org	U54HG004576	richard-myers	GSE32465	17556576 ; 17540862 ; 19261174 ; 18798982	wgEncodeHaibTfbs.release3.html	cell,antibody,treatment,protocol	wgEncodeHaibTfbs.release3.ra
7636e595-ca73-444f-8b9f-2af0f3d19ef7	composite	hg19/wgEncodeOpenChromChip	CURRENT	greg.crawford@duke.edu	U54HG004563	gregory-crawford	GSE33213	17568006 ; 18243105 ; 18784119 ; 16277752 ; 16791207 ; 16344561 ; 17571346 ; 17179217 ; 19303047 ; 22090374 ; 18714091 ; 20150147 ; 22090374	wgEncodeOpenChromChip.release2.html	cell,treatment,antibody	wgEncodeOpenChromChip.release2.ra
3bbd21e2-1b59-4b42-b463-00548c6c19d1	composite	hg19/wgEncodeOpenChromDnase	CURRENT	greg.crawford@duke.edu	U54HG004563	gregory-crawford	GSE32970	17568006 ; 18243105 ; 18784119 ; 16277752 ; 16791207 ; 16344561 ; 17571346 ; 17179217 ; 19303047 ; 18714091 ; 20150147	wgEncodeOpenChromDnase.release3.html	cell,treatment	wgEncodeOpenChromDnase.release3.ra
6cb1d5df-8e7c-44be-9d9d-05fd25bd7366	composite	hg19/wgEncodeOpenChromFaire	CURRENT	greg.crawford@duke.edu	U54HG004563	gregory-crawford	GSE35239	17568006 ; 18243105 ; 18784119 ; 16277752 ; 16791207 ; 16344561 ; 17571346 ; 17179217 ; 19303047 ; 18714091 ; 20150147	wgEncodeOpenChromFaire.release2.html	cell,treatment	wgEncodeOpenChromFaire.release2.ra
9196b789-f445-418a-a115-fd804e88667a	composite	hg19/wgEncodeOpenChromSynth	CURRENT	greg.crawford@duke.edu	U54HG004563	gregory-crawford	GSE40833	17568006 ; 17571346 ; 18243105 ; 18784119 ; 16277752 ; 16791207 ; 16344561 ; 19303047 ; 18714091 ; 20150147	wgEncodeOpenChromSynth.release2.html	cell,treatment,composite	wgEncodeOpenChromSynth.release2.ra
86011117-add6-417a-9f6b-59ec15207957	composite	hg19/wgEncodeRikenCage	CURRENT	davisc@cshl.edu	U54HG004557	piero-carninci	GSE34448	8938445 ; 16489339 ; 19074369	wgEncodeRikenCage.release4.html	cell,localization,rnaExtract	wgEncodeRikenCage.release4.ra
225023ad-d9c3-446e-9b90-47110eafc0a8	composite	hg19/wgEncodeSunyAlbanyGeneSt	CURRENT	stenenbaum@albany.edu	U01HG004571	scott-tenenbaum	GSE31724	18369977 ; 17114943 ; 21125495 ; 21431755 ; 12086614 ; 14770002 ; 11121017 ; 12054896	wgEncodeSunyAlbanyGeneSt.html	cell,antibody	wgEncodeSunyAlbanyGeneSt.ra
046fae0c-b9ae-46e3-8e20-d16de01e42f1	composite	hg19/wgEncodeSunyAlbanyTiling	CURRENT	stenenbaum@albany.edu	U01HG004571	scott-tenenbaum	GSE40691	12054896 ; 18369977 ; 14770002 ; 12086614 ; 17114943	wgEncodeSunyAlbanyTiling.html	cell,antibody	wgEncodeSunyAlbanyTiling.ra
c35b9815-0b4c-489c-8e04-3fb4cbe2193b	composite	hg19/wgEncodeSunyRipSeq	CURRENT	stenenbaum@albany.edu	U01HG004571	scott-tenenbaum	GSE35585	18369977 ; 17114943 ; 12086614 ; 14770002 ; 12054896	wgEncodeSunyRipSeq.html	cell,antibody	wgEncodeSunyRipSeq.ra
3a46006e-85c4-4e3d-b710-9b83a4897904	composite	hg19/wgEncodeSydhHistone	CURRENT	trupti@stanford.edu	U54HG004558	peggy-farnham	GSE31755	21347206 ; 21913086 ; 20680851	wgEncodeSydhHistone.release3.html	cell,treatment,antibody,control	wgEncodeSydhHistone.release3.ra
a9e9c9ff-7b1a-4ad8-8f58-3af0b245ec49	composite	hg19/wgEncodeSydhNsome	CURRENT	trupti@stanford.edu	U54HG004558	michael-snyder	GSE35586	17038564 ; 18477713 ; 21602827	wgEncodeSydhNsome.html	cell	wgEncodeSydhNsome.ra
6d9e8107-6726-4a95-bff8-27c4311e4e10	composite	hg19/wgEncodeSydhRnaSeq	CURRENT	trupti@stanford.edu	U54HG004558	michael-snyder	GSE35587	18451266 ; 20139302 ; 20194744	wgEncodeSydhRnaSeq.html	cell,treatment,rnaExtract	wgEncodeSydhRnaSeq.ra
722fa0fa-e6cc-46de-ab17-e3c6390d967f	composite	hg19/wgEncodeSydhTfbs	CURRENT	trupti@stanford.edu	U54HG004558	michael-snyder	GSE31477	21310950 ; 15082775 ; 17568005 ; 21343339 ; 14527995 ; 17558387 ; 19122651 ; 22025678 ; 22055187 ; 21808000	wgEncodeSydhTfbs.release3.html	cell,treatment,antibody,control	wgEncodeSydhTfbs.release3.ra
bbb8f9ad-2ff3-457e-bd4d-11c6382aa10f	composite	hg19/wgEncodeUncBsuProt.ra	CURRENT	giddings@unc.edu	R01HG003700	morgan-giddings	NULL	12518051; 14730672; 18187442; 17406544			
61dac65a-69d5-415e-9d15-b14bba5d09c8	composite	hg19/wgEncodeUncBsuProtGenc	CURRENT	giddings@unc.edu	R01HG003700	morgan-giddings	NULL	12518051; 17406544; 19377485; 15761957; 11231557; 14730672; 17327847			
7a5cfe51-71fb-4b3d-a620-58b8f763d576	composite	hg19/wgEncodeSunySwitchgear	CURRENT	stenenbaum@albany.edu	U01HG004571	scott-tenenbaum		18369977; 17114943; 12086614; 14770002; 12054896			
3a2da020-0962-47af-8540-692edcc908a4	composite	hg19/wgEncodeUchicagoTfbs	CURRENT	trupti@stanford.edu	U54HG004558	kevin-white	GSE31363	12409477 ; 19563758 ; 19029915 ; 19261174 ; 18391959	wgEncodeUchicagoTfbs.release2.html	cell,antibody,control	wgEncodeUchicagoTfbs.release2.ra
51769a96-5aab-4e50-8677-5bafe269276d	composite	hg19/wgEncodeUmassDekker5C	CURRENT	sull@uw.edu	U54HG004592	job-dekker	GSE39510	21131981 ; 16369547 ; 11847345 ; 17446898 ; 16954542 ; 19789528	wgEncodeUmassDekker5C.release2.html	cell	wgEncodeUmassDekker5C.release2.ra
a91f7dc1-eb87-4576-9b88-2d7ec27c3aa6	composite	hg19/wgEncodeUw5C	CURRENT	sull@uw.edu	U54HG004592	john-stamatoyannopoulos	GSE39505	11847345 ; 16954542	wgEncodeUw5C.html	cell,region	wgEncodeUw5C.ra
ce459d50-bea1-407e-acfa-95c1b543cd60	composite	hg19/wgEncodeUwAffyExonArray	CURRENT	sull@uw.edu	U54HG004592	john-stamatoyannopoulos	GSE19090	19966280	wgEncodeUwAffyExonArray.release4.html	cell,treatment	wgEncodeUwAffyExonArray.release4.ra
c833eac3-ec9a-4b12-8910-81f729465625	composite	hg19/wgEncodeUwDgf	CURRENT	sull@uw.edu	U54HG004592	john-stamatoyannopoulos	GSE26328	15550541 ; 16791208	wgEncodeUwDgf.release4.html	cell,treatment	wgEncodeUwDgf.release4.ra
b33b4807-215d-456a-aa0b-177cb3d1fdd3	composite	hg19/wgEncodeUwDnase	CURRENT	sull@uw.edu	U54HG004592	john-stamatoyannopoulos	GSE29692	15550541 ; 16791208	wgEncodeUwDnase.release6.html	cell,treatment	wgEncodeUwDnase.release6.ra
33cfe72d-6bc3-48cd-b220-373ad988013f	composite	hg19/wgEncodeUwHistone	CURRENT	sull@uw.edu	U54HG004592	john-stamatoyannopoulos	GSE35583	15550541	wgEncodeUwHistone.release5.html	cell,antibody,treatment	wgEncodeUwHistone.release5.ra
0517a765-98ed-4ff6-b2a4-253c551b957d	composite	hg19/wgEncodeUwRepliSeq	CURRENT	sull@uw.edu	U54HG004592	john-stamatoyannopoulos	GSE34399	19966280 ; 17568007	wgEncodeUwRepliSeq.html	cell	wgEncodeUwRepliSeq.ra
47dff215-05ff-4062-ac6a-1f8de9784978	composite	hg19/wgEncodeUwTfbs	CURRENT	sull@uw.edu	U54HG004592	john-stamatoyannopoulos	GSE30263	15550541	wgEncodeUwTfbs.release3.html	cell,antibody,treatment	wgEncodeUwTfbs.release4.ra
f36de133-bb1f-4a45-8239-dab652ad41a8	composite	mm9/wgEncodeCaltechHist	CURRENT	diane@caltech.edu	RC2HG005573	barbara-wold	GSE36023	19261174; 17540862; 18165803 	wgEncodeCaltechHist.html	cell,antibody,control,treatment	wgEncodeCaltechHist.ra
5a943910-e8cb-4069-8a89-87aa59abf614	composite	mm9/wgEncodeCaltechRnaSeq	CURRENT	diane@caltech.edu	RC2HG005573	barbara-wold	GSE37909	19261174; 18516045; 19289445 	wgEncodeCaltechRnaSeq.release1.html	cell,readType,instertLength,treatment	wgEncodeCaltechRnaSeq.release1.ra
9f14e3bd-9cd5-4d97-a7e1-5cd54e7f2d8a	composite	mm9/wgEncodeCaltechTfbs	CURRENT	diane@caltech.edu	RC2HG005573	barbara-wold	GSE36024	19261174; 17540862; 18165803 	wgEncodeCaltechTfbs.release2.html	cell,antibody,control,treatment	wgEncodeCaltechTfbs.release2.ra
85fb2ce5-92a1-4c6b-836d-179c1cae00d3	composite	mm9/wgEncodeCshlLongRnaSeq	CURRENT	davisc@cshl.edu	Unattributed	thomas-gingeras	GSE36025	19620212; 21816910; 19620212 	wgEncodeCshlLongRnaSeq.release3.html	cell,age	wgEncodeCshlLongRnaSeq.release3.ra
620bf92d-6750-4ffe-89fc-1be92fbec883	composite	mm9/wgEncodeFsuRepliChip	CURRENT	gilbert@bio.fsu.edu	Unattributed	david-gilbert	GSE17983	19952138; 18842067; 22096571; 21637205; 20430782; 22028635 	wgEncodeFsuRepliChip.html	cell,treatment	wgEncodeFsuRepliChip.html
e89d9fc9-5f88-40f0-8a1f-0f1142835f70	composite	mm9/wgEncodeLicrHistone	CURRENT	ledsall@ucsd.edu	R01HG003991	bing-ren	GSE31039	17512414; 16630819; 20729851; 21106759; 15567868; 21876557; 19295514; 17382889; 15899964; 12773564; 19261174; 12381723; 11701123; 21160473; 17558387; 11867540; 19212405 	wgEncodeLicrHistone.release3.html	cell,antibody,age	wgEncodeLicrHistone.release3.ra
b44744d7-1a42-465b-99d6-ed5e25f7b710	composite	mm9/wgEncodeLicrRnaSeq	CURRENT	ledsall@ucsd.edu	R01HG003991	bing-ren	GSE36026	18516045; 19620212; 19289445; 20436464 	wgEncodeLicrRnaSeq.release2.html	cell,age	wgEncodeLicrRnaSeq.release2.ra
671f8aaf-c51a-47de-8c5b-8ea2328a5d21	composite	mm9/wgEncodeLicrTfbs	CURRENT	ledsall@ucsd.edu	R01HG003991	bing-ren	GSE36027	17512414; 16630819; 20729851; 21106759; 15567868; 21876557; 19295514; 17382889; 15899964; 12773564; 19261174; 12381723; 11701123; 21160473; 17558387; 11867540; 19212405 	wgEncodeLicrTfbs.release3.html	cell,antibody,age	wgEncodeLicrTfbs.release3.ra
337dd5a6-c13c-42fc-aa59-20548384a2d0	composite	mm9/wgEncodePsuDnase	CURRENT	rch8@psu.edu	RC2HG005573	ross-hardison	GSE40848	18784119; 19261174; 20150147; 21795386 	wgEncodePsuDnase.html	cell,treatment	wgEncodePsuDnase.ra
b187671a-1712-447a-b2da-d6bcd3c97393	composite	mm9/wgEncodePsuHistone	CURRENT	rch8@psu.edu	RC2HG005573	ross-hardison	GSE36028	16630819; 20562416; 17571346; 17277777; 19261174; 12408864; 19317649; 9032291; 15297311; 18798982; 21795386 	wgEncodePsuHistone.release2.html	cell,antibody	wgEncodePsuHistone.release2.ra
95d10afa-5139-4b45-ba59-041962292fc6	composite	mm9/wgEncodePsuRnaSeq	CURRENT	rch8@psu.edu	RC2HG005573	ross-hardison	GSE40522	20069535; 16169926; 20738864; 19261174; 19505943; 18516045; 19620212; 20110278; 19289445 	wgEncodePsuRnaSeq.html	cell,treatment,labExpId	wgEncodePsuRnaSeq.ra
dd217d85-e730-4c5a-a476-3020575256da	composite	mm9/wgEncodePsuTfbs	CURRENT	rch8@psu.edu	RC2HG005573	ross-hardison	GSE36029	1396592; 20562416; 1756722; 10688671; 11118214; 19261174; 7830794; 19011221; 9214632; 9032291; 15297311; 18165803; 18798982; 21795386 	wgEncodePsuTfbs.release2.html	cell,antibody,treatment,labExpId	wgEncodePsuTfbs.release2.ra
f5a63bbf-64d7-42a4-acd0-94712d8c2713	composite	mm9/wgEncodeSydhRnaSeq	CURRENT	trupti@stanford.edu	RC2HG005602	michael-snyder	GSE39619	19620212	wgEncodeSydhRnaSeq.release2.html	cell,treatment	wgEncodeSydhRnaSeq.release2.ra
69acb11b-448b-49c1-bfc3-1fc4667442a8	composite	mm9/wgEncodeSydhTfbs	CURRENT	trupti@stanford.edu	RC2HG005602	michael-snyder	GSE36030	19706456; 17568005; 14527995; 17558387; 19122651 	wgEncodeSydhTfbs.release4.html	cell,antibody,treatment,control	wgEncodeSydhTfbs.release4.ra
de5d4cd0-0e30-46fd-b4e4-0a84f40f162c	composite	mm9/wgEncodeUwDgf	CURRENT	sull@uw.edu	RC2HG005654	john-stamatoyannopoulos	GSE40869	15550541; 16791208 	wgEncodeUwDgf.html	cell,age, treatment	wgEncodeUwDgf.ra
e41f3ef4-f240-4a36-ad31-afebc3d2a247	composite	mm9/wgEncodeUwDnase	CURRENT	sull@uw.edu	RC2HG005654	john-stamatoyannopoulos	GSE37074	21258342; 15550541; 16791208 	wgEncodeUwDnase.release2.html	cell,age,treatment,strain	wgEncodeUwDnase.release2.ra
635244d8-c7dc-453f-9741-827e995d77fb	composite	mm9/wgEncodeUwRnaSeq	CURRENT	sull@uw.edu	RC2HG005654	john-stamatoyannopoulos	GSE39524	19451168; 19505943; 20110278 	wgEncodeUwRnaSeq.html	cell,age,strain	wgEncodeUwRnaSeq.ra
24eb72a1-8dad-4cbe-9f48-692bebdd836f	composite	mm9/wgEncodeSydhHist	CURRENT	trupti@stanford.edu	RC2HG005602	michael-snyder	GSE32218	19706456; 17568005; 14527995; 17558387; 19122651	wgEncodeSydhHist.release2.html		
